language,category,hanzi,literal_translation,meaning
Cantonese,Wisdom / philosophy,大智若愚,great wisdom seems foolish,true wisdom can appear humble or simple
Mandarin,Wisdom / philosophy,上善若水,highest goodness is like water,"the best virtue is gentle, flexible, and nourishing"
Cantonese,Wisdom / philosophy,上善若水,highest goodness is like water,"the best virtue is gentle, flexible, and nourishing"
Mandarin,Wisdom / philosophy,物極必反 / 物极必反,"when things reach an extreme, they reverse",extremes eventually turn into their opposites
Cantonese,Wisdom / philosophy,物極必反 / 物极必反,"when things reach an extreme, they reverse",extremes eventually turn into their opposites
Mandarin,Wisdom / philosophy,無為而治 / 无为而治,govern by non-action,lead without forcing; Daoist effortless order
Cantonese,Wisdom / philosophy,無為而治 / 无为而治,govern by non-action,lead without forcing; Daoist effortless order
Mandarin,Wisdom / philosophy,知足常樂 / 知足常乐,know enough and always be happy,contentment brings happiness
Cantonese,Wisdom / philosophy,知足常樂 / 知足常乐,know enough and always be happy,contentment brings happiness
Mandarin,Wisdom / philosophy,隨遇而安 / 随遇而安,be at peace with what you encounter,adapt calmly to circumstances
Cantonese,Wisdom / philosophy,隨遇而安 / 随遇而安,be at peace with what you encounter,adapt calmly to circumstances
Mandarin,Wisdom / philosophy,得失隨緣 / 得失随缘,gain and loss follow fate,accept gains and losses calmly
Cantonese,Wisdom / philosophy,得失隨緣 / 得失随缘,gain and loss follow fate,accept gains and losses calmly
Mandarin,Wisdom / philosophy,一念之差,the difference of one thought,a tiny mental choice can change everything
Cantonese,Wisdom / philosophy,一念之差,the difference of one thought,a tiny mental choice can change everything
Mandarin,Wisdom / philosophy,人外有人,"outside people, there are people",there is always someone better
Cantonese,Wisdom / philosophy,人外有人,"outside people, there are people",there is always someone better
Mandarin,Wisdom / philosophy,天外有天,"beyond the sky, there is sky",there is always a higher level
Cantonese,Wisdom / philosophy,天外有天,"beyond the sky, there is sky",there is always a higher level
Mandarin,Aesthetic / tattoo-friendly,無畏 / 无畏,without fear,fearless
Cantonese,Aesthetic / tattoo-friendly,無畏 / 无畏,without fear,fearless
Mandarin,Aesthetic / tattoo-friendly,自在,self-existing / freely present,"free, relaxed, at ease"
Cantonese,Aesthetic / tattoo-friendly,自在,self-existing / freely present,"free, relaxed, at ease"
Mandarin,Aesthetic / tattoo-friendly,逍遙 / 逍遥,wander freely,carefree freedom
Cantonese,Aesthetic / tattoo-friendly,逍遙 / 逍遥,wander freely,carefree freedom
Mandarin,Aesthetic / tattoo-friendly,靜心 / 静心,quiet heart,calm mind
Cantonese,Aesthetic / tattoo-friendly,靜心 / 静心,quiet heart,calm mind
Mandarin,Aesthetic / tattoo-friendly,清風 / 清风,clear breeze,"freshness, calm, elegance"
Cantonese,Aesthetic / tattoo-friendly,清風 / 清风,clear breeze,"freshness, calm, elegance"
Mandarin,Aesthetic / tattoo-friendly,明月,bright moon,"clarity, beauty, poetic calm"
Cantonese,Aesthetic / tattoo-friendly,明月,bright moon,"clarity, beauty, poetic calm"
Mandarin,Aesthetic / tattoo-friendly,山海,mountains and seas,vast nature; distance and grandeur
Cantonese,Aesthetic / tattoo-friendly,山海,mountains and seas,vast nature; distance and grandeur
Mandarin,Aesthetic / tattoo-friendly,星河,river of stars,Milky Way; cosmic beauty
Cantonese,Aesthetic / tattoo-friendly,星河,river of stars,Milky Way; cosmic beauty
Mandarin,Aesthetic / tattoo-friendly,浮生,floating life,fleeting human life
Cantonese,Aesthetic / tattoo-friendly,浮生,floating life,fleeting human life
Mandarin,Aesthetic / tattoo-friendly,夢醒 / 梦醒,dream awakening,waking from illusion
Cantonese,Aesthetic / tattoo-friendly,夢醒 / 梦醒,dream awakening,waking from illusion
Mandarin,Aesthetic / tattoo-friendly,風骨 / 风骨,wind and bones,"integrity, noble character, inner strength"
Cantonese,Aesthetic / tattoo-friendly,風骨 / 风骨,wind and bones,"integrity, noble character, inner strength"
Mandarin,Aesthetic / tattoo-friendly,赤心,red heart,sincere and loyal heart
Cantonese,Aesthetic / tattoo-friendly,赤心,red heart,sincere and loyal heart
Mandarin,Aesthetic / tattoo-friendly,知行合一,knowledge and action become one,act according to what you know
Cantonese,Aesthetic / tattoo-friendly,知行合一,knowledge and action become one,act according to what you know
Mandarin,Aesthetic / tattoo-friendly,心如止水,heart like still water,a mind completely calm
Cantonese,Aesthetic / tattoo-friendly,心如止水,heart like still water,a mind completely calm
Mandarin,Aesthetic / tattoo-friendly,雲淡風輕 / 云淡风轻,"clouds pale, wind light",calm detachment and ease
Cantonese,Aesthetic / tattoo-friendly,雲淡風輕 / 云淡风轻,"clouds pale, wind light",calm detachment and ease
Mandarin,Aesthetic / tattoo-friendly,海納百川 / 海纳百川,the sea accepts a hundred rivers,open-mindedness and tolerance
Cantonese,Aesthetic / tattoo-friendly,海納百川 / 海纳百川,the sea accepts a hundred rivers,open-mindedness and tolerance
Mandarin,Love / friendship,一見鍾情 / 一见钟情,one look and feelings gather,love at first sight
Cantonese,Love / friendship,一見鍾情 / 一见钟情,one look and feelings gather,love at first sight
Mandarin,Love / friendship,情投意合,feelings fit and intentions match,be emotionally compatible
Cantonese,Love / friendship,情投意合,feelings fit and intentions match,be emotionally compatible
Mandarin,Love / friendship,青梅竹馬 / 青梅竹马,green plums and bamboo horses,childhood sweethearts
Cantonese,Love / friendship,青梅竹馬 / 青梅竹马,green plums and bamboo horses,childhood sweethearts
Mandarin,Love / friendship,海誓山盟,sea oath and mountain vow,eternal vows of love
Cantonese,Love / friendship,海誓山盟,sea oath and mountain vow,eternal vows of love
Mandarin,Love / friendship,天作之合,a union made by heaven,a perfect match
Cantonese,Love / friendship,天作之合,a union made by heaven,a perfect match
Mandarin,Love / friendship,心心相印,heart and heart imprint each other,deep mutual understanding
Cantonese,Love / friendship,心心相印,heart and heart imprint each other,deep mutual understanding
Mandarin,Love / friendship,相濡以沫,moisten each other with foam,support each other through hardship
Cantonese,Love / friendship,相濡以沫,moisten each other with foam,support each other through hardship
Mandarin,Love / friendship,白頭偕老 / 白头偕老,white-haired together in old age,grow old together
Cantonese,Love / friendship,白頭偕老 / 白头偕老,white-haired together in old age,grow old together
Mandarin,Love / friendship,如膠似漆 / 如胶似漆,like glue and lacquer,inseparable
Cantonese,Love / friendship,如膠似漆 / 如胶似漆,like glue and lacquer,inseparable
Mandarin,Historic / literary,臥薪嘗膽 / 卧薪尝胆,sleep on brushwood and taste gall,endure hardship to achieve revenge or success
Cantonese,Historic / literary,臥薪嘗膽 / 卧薪尝胆,sleep on brushwood and taste gall,endure hardship to achieve revenge or success
Mandarin,Historic / literary,三顧茅廬 / 三顾茅庐,visit the thatched cottage three times,sincerely seek out talent or advice
Cantonese,Historic / literary,三顧茅廬 / 三顾茅庐,visit the thatched cottage three times,sincerely seek out talent or advice
Mandarin,Historic / literary,草船借箭,borrow arrows with straw boats,win through clever strategy
Cantonese,Historic / literary,草船借箭,borrow arrows with straw boats,win through clever strategy
Mandarin,Historic / literary,空城計 / 空城计,empty city stratagem,bluff calmly in a dangerous situation
Cantonese,Historic / literary,空城計 / 空城计,empty city stratagem,bluff calmly in a dangerous situation
Mandarin,Historic / literary,望梅止渴,look at plums to stop thirst,comfort oneself with imagination
Cantonese,Historic / literary,望梅止渴,look at plums to stop thirst,comfort oneself with imagination
Mandarin,Historic / literary,四面楚歌,Chu songs on all four sides,be surrounded by enemies or hopeless pressure
Cantonese,Historic / literary,四面楚歌,Chu songs on all four sides,be surrounded by enemies or hopeless pressure
Mandarin,Historic / literary,指鹿為馬 / 指鹿为马,point at a deer and call it a horse,deliberate political manipulation of truth
Cantonese,Historic / literary,指鹿為馬 / 指鹿为马,point at a deer and call it a horse,deliberate political manipulation of truth
Mandarin,Historic / literary,完璧歸趙 / 完璧归赵,return the jade intact to Zhao,return something safely and intact
Cantonese,Historic / literary,完璧歸趙 / 完璧归赵,return the jade intact to Zhao,return something safely and intact
Mandarin,Historic / literary,負荊請罪 / 负荆请罪,carry thorn branches to ask punishment,make a humble apology
Cantonese,Historic / literary,負荊請罪 / 负荆请罪,carry thorn branches to ask punishment,make a humble apology
Mandarin,Historic / literary,紙上談兵 / 纸上谈兵,discuss warfare on paper,theory without practical ability
Cantonese,Historic / literary,紙上談兵 / 纸上谈兵,discuss warfare on paper,theory without practical ability
Mandarin,Historic / literary,東施效顰 / 东施效颦,Dongshi imitates a frown,awkward imitation that backfires
Cantonese,Historic / literary,東施效顰 / 东施效颦,Dongshi imitates a frown,awkward imitation that backfires
Mandarin,Historic / literary,洛陽紙貴 / 洛阳纸贵,paper becomes expensive in Luoyang,a literary work becomes wildly popular
Cantonese,Historic / literary,洛陽紙貴 / 洛阳纸贵,paper becomes expensive in Luoyang,a literary work becomes wildly popular
Mandarin,Historic / literary,毛遂自薦 / 毛遂自荐,Mao Sui recommends himself,boldly volunteer oneself
Cantonese,Historic / literary,毛遂自薦 / 毛遂自荐,Mao Sui recommends himself,boldly volunteer oneself
Mandarin,Historic / literary,鷸蚌相爭 / 鹬蚌相争,snipe and clam fight,two parties fight and a third benefits
Cantonese,Historic / literary,鷸蚌相爭 / 鹬蚌相争,snipe and clam fight,two parties fight and a third benefits
Mandarin,School / study,學海無涯 / 学海无涯,the sea of learning has no shore,learning is endless
Cantonese,School / study,學海無涯 / 学海无涯,the sea of learning has no shore,learning is endless
Mandarin,School / study,溫故知新 / 温故知新,warm up the old and know the new,review old knowledge to gain new insight
Cantonese,School / study,溫故知新 / 温故知新,warm up the old and know the new,review old knowledge to gain new insight
Mandarin,School / study,一目十行,"one glance, ten lines",read extremely fast
Cantonese,School / study,一目十行,"one glance, ten lines",read extremely fast
Mandarin,School / study,過目不忘 / 过目不忘,pass before the eyes and not forget,have an excellent memory
Cantonese,School / study,過目不忘 / 过目不忘,pass before the eyes and not forget,have an excellent memory
Mandarin,School / study,博學多才 / 博学多才,broadly learned and very talented,erudite and talented
Cantonese,School / study,博學多才 / 博学多才,broadly learned and very talented,erudite and talented
Mandarin,School / study,才高八斗,talent as high as eight dou,exceptionally talented
Cantonese,School / study,才高八斗,talent as high as eight dou,exceptionally talented
Mandarin,School / study,學以致用 / 学以致用,learn in order to apply,put learning into practice
Cantonese,School / study,學以致用 / 学以致用,learn in order to apply,put learning into practice
Mandarin,School / study,融會貫通 / 融会贯通,"merge, understand, and connect through",integrate knowledge deeply
Cantonese,School / study,融會貫通 / 融会贯通,"merge, understand, and connect through",integrate knowledge deeply
Mandarin,School / study,舉一反三 / 举一反三,raise one and infer three,learn broadly from one example
Cantonese,School / study,舉一反三 / 举一反三,raise one and infer three,learn broadly from one example
Mandarin,School / study,熟能生巧,skill comes from familiarity,practice makes skill
Cantonese,School / study,熟能生巧,skill comes from familiarity,practice makes skill
Mandarin,Failure / resilience,失敗乃成功之母 / 失败乃成功之母,failure is the mother of success,failure leads to eventual success
Cantonese,Failure / resilience,失敗乃成功之母 / 失败乃成功之母,failure is the mother of success,failure leads to eventual success
Mandarin,Failure / resilience,捲土重來 / 卷土重来,roll up dust and come again,make a comeback
Cantonese,Failure / resilience,捲土重來 / 卷土重来,roll up dust and come again,make a comeback
Mandarin,Failure / resilience,浴火重生,reborn through fire,emerge stronger after destruction or hardship
Cantonese,Failure / resilience,浴火重生,reborn through fire,emerge stronger after destruction or hardship
Mandarin,Failure / resilience,苦盡甘來 / 苦尽甘来,"bitterness ends, sweetness comes",good times come after hardship
Cantonese,Failure / resilience,苦盡甘來 / 苦尽甘来,"bitterness ends, sweetness comes",good times come after hardship
Mandarin,Failure / resilience,否極泰來 / 否极泰来,misfortune reaches its extreme and peace arrives,things improve after the worst point
Cantonese,Failure / resilience,否極泰來 / 否极泰来,misfortune reaches its extreme and peace arrives,things improve after the worst point
Mandarin,Failure / resilience,柳暗花明,"willows dark, flowers bright",hope appears after despair
Cantonese,Failure / resilience,柳暗花明,"willows dark, flowers bright",hope appears after despair
Mandarin,Failure / resilience,迎難而上 / 迎难而上,face difficulty and go upward,confront hardship directly
Cantonese,Failure / resilience,迎難而上 / 迎难而上,face difficulty and go upward,confront hardship directly
Mandarin,Failure / resilience,百煉成鋼 / 百炼成钢,refined a hundred times into steel,become strong through repeated trials
Cantonese,Failure / resilience,百煉成鋼 / 百炼成钢,refined a hundred times into steel,become strong through repeated trials
Mandarin,Failure / resilience,堅持不懈 / 坚持不懈,persist and do not slacken,keep going without giving up
Cantonese,Failure / resilience,堅持不懈 / 坚持不懈,persist and do not slacken,keep going without giving up
Mandarin,Failure / resilience,逆風翻盤 / 逆风翻盘,turn the board against the wind,turn a bad situation around
Cantonese,Failure / resilience,逆風翻盤 / 逆风翻盘,turn the board against the wind,turn a bad situation around
Mandarin,Villain / power / dark aesthetic,龍爭虎鬥 / 龙争虎斗,dragon fights tiger,epic rivalry or fierce struggle
Cantonese,Villain / power / dark aesthetic,龍爭虎鬥 / 龙争虎斗,dragon fights tiger,epic rivalry or fierce struggle
Mandarin,Villain / power / dark aesthetic,風雲變色 / 风云变色,wind and clouds change color,dramatic upheaval
Cantonese,Villain / power / dark aesthetic,風雲變色 / 风云变色,wind and clouds change color,dramatic upheaval
Mandarin,Villain / power / dark aesthetic,殺氣騰騰 / 杀气腾腾,murderous aura rises,full of threatening energy
Cantonese,Villain / power / dark aesthetic,殺氣騰騰 / 杀气腾腾,murderous aura rises,full of threatening energy
Mandarin,Villain / power / dark aesthetic,獨步天下 / 独步天下,walk alone under heaven,unmatched in the world
Cantonese,Villain / power / dark aesthetic,獨步天下 / 独步天下,walk alone under heaven,unmatched in the world
Mandarin,Villain / power / dark aesthetic,天下無雙 / 天下无双,no equal under heaven,unparalleled
Cantonese,Villain / power / dark aesthetic,天下無雙 / 天下无双,no equal under heaven,unparalleled
Mandarin,Villain / power / dark aesthetic,雄霸一方,heroically dominate one region,dominate a territory or field
Cantonese,Villain / power / dark aesthetic,雄霸一方,heroically dominate one region,dominate a territory or field
Mandarin,Villain / power / dark aesthetic,霸氣外露 / 霸气外露,dominating aura exposed,radiating power or confidence
Cantonese,Villain / power / dark aesthetic,霸氣外露 / 霸气外露,dominating aura exposed,radiating power or confidence
Mandarin,Villain / power / dark aesthetic,斬草除根 / 斩草除根,cut the grass and remove the roots,eliminate a problem completely
Cantonese,Villain / power / dark aesthetic,斬草除根 / 斩草除根,cut the grass and remove the roots,eliminate a problem completely
Mandarin,Villain / power / dark aesthetic,暗度陳倉 / 暗度陈仓,secretly pass through Chencang,use a hidden strategic maneuver
Cantonese,Villain / power / dark aesthetic,暗度陳倉 / 暗度陈仓,secretly pass through Chencang,use a hidden strategic maneuver
Mandarin,Villain / power / dark aesthetic,笑裏藏刀 / 笑里藏刀,hide a knife inside a smile,appear friendly while hiding hostile intent
Cantonese,Villain / power / dark aesthetic,笑裏藏刀 / 笑里藏刀,hide a knife inside a smile,appear friendly while hiding hostile intent
Mandarin,Nature / poetic,春暖花開 / 春暖花开,"spring warm, flowers open",beautiful spring; hopeful atmosphere
Cantonese,Nature / poetic,春暖花開 / 春暖花开,"spring warm, flowers open",beautiful spring; hopeful atmosphere
Mandarin,Nature / poetic,花好月圓 / 花好月圆,"flowers good, moon round","happiness, reunion, completeness"
Cantonese,Nature / poetic,花好月圓 / 花好月圆,"flowers good, moon round","happiness, reunion, completeness"
Mandarin,Nature / poetic,風花雪月 / 风花雪月,"wind, flowers, snow, moon",romantic or poetic beauty
Cantonese,Nature / poetic,風花雪月 / 风花雪月,"wind, flowers, snow, moon",romantic or poetic beauty
Mandarin,Nature / poetic,山明水秀,"mountains bright, waters elegant",beautiful natural scenery
Cantonese,Nature / poetic,山明水秀,"mountains bright, waters elegant",beautiful natural scenery
Mandarin,Nature / poetic,水光山色,water light and mountain colors,beautiful landscape
Cantonese,Nature / poetic,水光山色,water light and mountain colors,beautiful landscape
Mandarin,Nature / poetic,月明星稀,"moon bright, stars sparse",clear moonlit night
Cantonese,Nature / poetic,月明星稀,"moon bright, stars sparse",clear moonlit night
Mandarin,Nature / poetic,落花流水,falling flowers and flowing water,poetic image of loss or defeat
Cantonese,Nature / poetic,落花流水,falling flowers and flowing water,poetic image of loss or defeat
Mandarin,Nature / poetic,鳥語花香 / 鸟语花香,"birds speak, flowers fragrant",spring-like natural beauty
Cantonese,Nature / poetic,鳥語花香 / 鸟语花香,"birds speak, flowers fragrant",spring-like natural beauty
Mandarin,Nature / poetic,煙雨江南 / 烟雨江南,misty rain in Jiangnan,"soft, poetic southern scenery"
Cantonese,Nature / poetic,煙雨江南 / 烟雨江南,misty rain in Jiangnan,"soft, poetic southern scenery"
Mandarin,Food / daily life,民以食為天 / 民以食为天,the people take food as heaven,food is the most important thing in life
Cantonese,Food / daily life,民以食為天 / 民以食为天,the people take food as heaven,food is the most important thing in life
Mandarin,Food / daily life,吃苦耐勞 / 吃苦耐劳,eat bitterness and endure labor,work hard and endure hardship
Cantonese,Food / daily life,吃苦耐勞 / 吃苦耐劳,eat bitterness and endure labor,work hard and endure hardship
Mandarin,Food / daily life,粗茶淡飯 / 粗茶淡饭,coarse tea and plain rice,simple humble living
Cantonese,Food / daily life,粗茶淡飯 / 粗茶淡饭,coarse tea and plain rice,simple humble living
Mandarin,Food / daily life,飯來張口 / 饭来张口,food comes and you open your mouth,spoiled and dependent
Cantonese,Food / daily life,飯來張口 / 饭来张口,food comes and you open your mouth,spoiled and dependent
Mandarin,Food / daily life,狼吞虎嚥 / 狼吞虎咽,wolf-swallow and tiger-gulp,eat very greedily
Cantonese,Food / daily life,狼吞虎嚥 / 狼吞虎咽,wolf-swallow and tiger-gulp,eat very greedily
Mandarin,Food / daily life,津津有味,with flavor again and again,with great enjoyment
Cantonese,Food / daily life,津津有味,with flavor again and again,with great enjoyment
